epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,1734.38,0.41328,0.4781,0.84142,0.98909,0.99763,0.995,0.9166,0.40746,0.66755,0.79165,0.00032185,0.00032185,0.00032185
139,1746.98,0.40434,0.48198,0.83943,0.98909,0.99763,0.995,0.9166,0.40746,0.66755,0.79165,0.0003169,0.0003169,0.0003169
140,1759.69,0.44874,0.51026,0.84576,0.99179,0.99852,0.995,0.90786,0.40767,0.63636,0.79005,0.00031195,0.00031195,0.00031195
141,1772.1,0.43201,0.47259,0.86164,0.99179,0.99852,0.995,0.90786,0.40767,0.63636,0.79005,0.000307,0.000307,0.000307
142,1784.62,0.42103,0.4787,0.82721,0.99344,1,0.995,0.9055,0.41745,0.61365,0.79041,0.00030205,0.00030205,0.00030205
143,1797.22,0.43407,0.49749,0.82864,0.99344,1,0.995,0.9055,0.41745,0.61365,0.79041,0.0002971,0.0002971,0.0002971
144,1809.7,0.43809,0.50718,0.81673,0.99386,1,0.995,0.9026,0.41454,0.603,0.79103,0.00029215,0.00029215,0.00029215
145,1822.25,0.45004,0.52039,0.84375,0.99386,1,0.995,0.9026,0.41454,0.603,0.79103,0.0002872,0.0002872,0.0002872
146,1834.8,0.43587,0.49309,0.83645,0.99211,1,0.995,0.9119,0.39339,0.59794,0.78876,0.00028225,0.00028225,0.00028225
147,1847.44,0.41121,0.48981,0.80971,0.99211,1,0.995,0.9119,0.39339,0.59794,0.78876,0.0002773,0.0002773,0.0002773
148,1860.01,0.4033,0.48368,0.83693,0.9906,0.99866,0.995,0.92215,0.38682,0.60236,0.78787,0.00027235,0.00027235,0.00027235
149,1872.46,0.42353,0.51522,0.82776,0.9906,0.99866,0.995,0.92215,0.38682,0.60236,0.78787,0.0002674,0.0002674,0.0002674
150,1885.21,0.40591,0.50311,0.8383,0.98994,0.99796,0.995,0.91033,0.42383,0.59984,0.79125,0.00026245,0.00026245,0.00026245
151,1897.86,0.45886,0.51338,0.83522,0.98994,0.99796,0.995,0.91033,0.42383,0.59984,0.79125,0.0002575,0.0002575,0.0002575
152,1910.39,0.42528,0.5089,0.84026,0.99011,0.99757,0.995,0.9001,0.46601,0.59957,0.79771,0.00025255,0.00025255,0.00025255
153,1922.8,0.44507,0.48846,0.8417,0.99011,0.99757,0.995,0.9001,0.46601,0.59957,0.79771,0.0002476,0.0002476,0.0002476
154,1935.25,0.42435,0.50479,0.84034,0.99116,0.99756,0.995,0.91002,0.44465,0.58434,0.79559,0.00024265,0.00024265,0.00024265
155,1947.78,0.4205,0.48072,0.83953,0.99116,0.99756,0.995,0.91002,0.44465,0.58434,0.79559,0.0002377,0.0002377,0.0002377
156,1960.38,0.4121,0.49844,0.82888,0.99285,0.99771,0.995,0.91956,0.39841,0.5662,0.79084,0.00023275,0.00023275,0.00023275
157,1972.77,0.41128,0.47509,0.84443,0.99285,0.99771,0.995,0.91956,0.39841,0.5662,0.79084,0.0002278,0.0002278,0.0002278
158,1985.25,0.42511,0.46894,0.85308,0.99434,0.9981,0.995,0.92329,0.39149,0.55463,0.79115,0.00022285,0.00022285,0.00022285
159,1997.71,0.40111,0.45962,0.8474,0.99434,0.9981,0.995,0.92329,0.39149,0.55463,0.79115,0.0002179,0.0002179,0.0002179
160,2010.29,0.41731,0.47245,0.84602,0.99392,0.99904,0.995,0.91669,0.41069,0.55344,0.7954,0.00021295,0.00021295,0.00021295
161,2022.82,0.42795,0.49912,0.84644,0.99392,0.99904,0.995,0.91669,0.41069,0.55344,0.7954,0.000208,0.000208,0.000208
162,2035.44,0.42776,0.49607,0.83747,0.99333,0.99932,0.995,0.91688,0.41963,0.54596,0.79884,0.00020305,0.00020305,0.00020305
163,2047.93,0.43473,0.51119,0.84537,0.99333,0.99932,0.995,0.91688,0.41963,0.54596,0.79884,0.0001981,0.0001981,0.0001981
164,2060.48,0.42546,0.4888,0.83298,0.99379,0.99817,0.995,0.92404,0.38719,0.52899,0.79295,0.00019315,0.00019315,0.00019315
165,2072.96,0.40926,0.5185,0.84375,0.99379,0.99817,0.995,0.92404,0.38719,0.52899,0.79295,0.0001882,0.0001882,0.0001882
166,2085.49,0.40941,0.49933,0.87138,0.99408,0.99704,0.995,0.93096,0.37373,0.53193,0.78924,0.00018325,0.00018325,0.00018325
167,2097.87,0.40623,0.49053,0.81818,0.99408,0.99704,0.995,0.93096,0.37373,0.53193,0.78924,0.0001783,0.0001783,0.0001783
